ALPHA,CL,CD
-15.50,-0.7223,0.0814
-15.25,-0.7608,0.0726
-15.00,-0.7828,0.0665
-14.75,-0.8080,0.0603
-14.50,-0.8310,0.0545
-14.25,-0.8570,0.0488
-14.00,-0.8740,0.0447
-13.75,-0.8937,0.0411
-13.50,-0.9159,0.0383
-13.25,-0.9234,0.0358
-13.00,-0.9106,0.0337
-12.75,-0.8987,0.0320
-12.50,-0.8840,0.0305
-12.25,-0.8601,0.0291
-12.00,-0.8444,0.0276
-11.75,-0.8231,0.0260
-11.50,-0.7951,0.0249
-11.25,-0.7739,0.0239
-11.00,-0.7501,0.0230
-10.75,-0.7209,0.0221
-10.50,-0.6912,0.0210
-10.25,-0.6705,0.0201
-10.00,-0.6443,0.0194
-9.75,-0.6125,0.0187
-9.50,-0.5820,0.0177
-9.25,-0.5475,0.0169
-9.00,-0.5273,0.0163
-8.75,-0.4983,0.0156
-8.50,-0.4646,0.0149
-8.25,-0.4266,0.0144
-8.00,-0.3899,0.0138
-7.75,-0.3704,0.0133
-7.50,-0.3375,0.0129
-7.25,-0.3013,0.0124
-7.00,-0.2765,0.0121
-6.75,-0.2465,0.0118
-6.50,-0.2099,0.0115
-6.25,-0.1889,0.0113
-6.00,-0.1569,0.0111
-5.75,-0.1314,0.0110
-5.50,-0.1035,0.0107
-5.25,-0.0768,0.0106
-5.00,-0.0509,0.0104
-4.75,-0.0246,0.0103
-4.50,0.0009,0.0101
-4.00,0.0518,0.0098
-3.75,0.0753,0.0097
-3.50,0.1020,0.0096
-3.25,0.1240,0.0095
-3.00,0.1491,0.0094
-2.75,0.1725,0.0093
-2.50,0.1962,0.0092
-2.25,0.2201,0.0091
-2.00,0.2427,0.0091
-1.75,0.2663,0.0090
-1.50,0.2890,0.0089
-1.25,0.3117,0.0089
-1.00,0.3342,0.0088
-0.75,0.3555,0.0087
-0.50,0.3763,0.0086
-0.25,0.3953,0.0084
0.00,0.4127,0.0082
0.25,0.4297,0.0081
0.50,0.4468,0.0079
0.75,0.4669,0.0078
1.00,0.5376,0.0078
1.25,0.6155,0.0081
1.50,0.6568,0.0084
1.75,0.6936,0.0086
2.00,0.7343,0.0088
2.25,0.7769,0.0090
2.50,0.8247,0.0091
2.75,0.8487,0.0092
3.00,0.8663,0.0093
3.25,0.8838,0.0094
3.50,0.9013,0.0096
3.75,0.9182,0.0097
4.00,0.9353,0.0098
4.25,0.9525,0.0100
4.50,0.9704,0.0101
4.75,0.9883,0.0102
5.00,1.0049,0.0104
5.25,1.0222,0.0105
5.50,1.0363,0.0107
5.75,1.0525,0.0109
6.00,1.0667,0.0110
6.25,1.0835,0.0112
6.50,1.0990,0.0114
6.75,1.1161,0.0116
7.00,1.1318,0.0118
7.25,1.1489,0.0120
7.50,1.1640,0.0123
7.75,1.1818,0.0126
8.00,1.1969,0.0129
8.25,1.2128,0.0132
8.50,1.2288,0.0136
8.75,1.2431,0.0140
9.00,1.2562,0.0144
9.25,1.2688,0.0150
9.50,1.2808,0.0156
9.75,1.2927,0.0162
10.00,1.3049,0.0168
10.25,1.3167,0.0175
10.50,1.3281,0.0182
10.75,1.3381,0.0191
11.25,1.3593,0.0208
11.50,1.3691,0.0217
11.75,1.3789,0.0227
12.00,1.3888,0.0237
12.25,1.3969,0.0248
12.50,1.4066,0.0259
12.75,1.4156,0.0271
13.00,1.4218,0.0285
13.25,1.4320,0.0296
13.50,1.4370,0.0312
13.75,1.4457,0.0325
14.00,1.4517,0.0341
14.25,1.4562,0.0359
14.50,1.4623,0.0376
14.75,1.4646,0.0397
15.00,1.4688,0.0417
15.25,1.4697,0.0440
15.50,1.4688,0.0466
15.75,1.4685,0.0492
16.00,1.4636,0.0523
16.25,1.4617,0.0552
16.50,1.4549,0.0587
16.75,1.4537,0.0617
17.00,1.4474,0.0653
17.25,1.4399,0.0690
17.50,1.4371,0.0724
17.75,1.4315,0.0761
18.00,1.4234,0.0801
18.25,1.4133,0.0845
18.50,1.4111,0.0879
18.75,1.4072,0.0915
19.00,1.4011,0.0955
19.25,1.3935,0.0997
